bbox_x1,bbox_y1,bbox_x2,bbox_y2,class,image_id,path,vehicle_type
15,12,314,230,106,train_00073,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00073.jpg,Pick Up
14,12,309,223,106,train_00074,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00074.jpg,Pick Up
45,74,522,253,188,train_00075,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00075.jpg,Sedan
12,27,284,166,59,train_00076,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00076.jpg,Convertible
25,25,3502,2017,110,train_00077,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00077.jpg,SUV
36,88,611,417,43,train_00078,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00078.jpg,Coupe
165,126,749,425,133,train_00079,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00079.jpg,SUV
20,21,292,217,111,train_00080,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00080.jpg,Pick Up
10,55,540,271,8,train_00081,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00081.jpg,Convertible
63,113,597,413,192,train_00082,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00082.jpg,Hatchback
55,48,294,205,18,train_00083,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00083.jpg,Wagon
27,67,620,474,116,train_00084,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00084.jpg,Van
15,80,629,402,49,train_00085,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00085.jpg,Sedan
119,300,1416,871,145,train_00086,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00086.jpg,SUV
17,36,455,215,49,train_00087,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00087.jpg,Sedan
171,176,2373,1751,170,train_00088,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00088.jpg,Hatchback
49,195,1003,617,20,train_00089,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00089.jpg,Sedan
5,43,296,211,114,train_00090,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00090.jpg,Pick Up
49,57,494,419,165,train_00091,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00091.jpg,Sedan
101,84,492,272,138,train_00092,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00092.jpg,Sedan
23,53,258,144,175,train_00093,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00093.jpg,Coupe
19,60,783,440,112,train_00094,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00094.jpg,Coupe
110,171,1213,648,122,train_00095,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00095.jpg,Pick Up
39,67,346,206,104,train_00096,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00096.jpg,Coupe
3,7,76,50,57,train_00097,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00097.jpg,Coupe
65,37,578,360,51,train_00098,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00098.jpg,Sedan
27,60,486,364,37,train_00099,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00099.jpg,SUV
22,180,454,355,71,train_00100,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00100.jpg,Van
70,39,940,742,193,train_00101,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00101.jpg,Hatchback
99,130,396,222,105,train_00102,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00102.jpg,Sedan
85,107,609,381,61,train_00103,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00103.jpg,Sedan
1,76,480,315,74,train_00104,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00104.jpg,Pick Up
57,266,967,623,133,train_00105,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00105.jpg,SUV
69,75,236,161,162,train_00106,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00106.jpg,Sedan
24,17,249,163,131,train_00107,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00107.jpg,SUV
7,27,212,147,88,train_00108,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00108.jpg,Van
18,14,248,168,121,train_00109,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00109.jpg,SUV
19,2,591,387,180,train_00110,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00110.jpg,Coupe
52,6,759,513,180,train_00111,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00111.jpg,Coupe
231,103,430,226,137,train_00112,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00112.jpg,Sedan
91,148,700,582,133,train_00113,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00113.jpg,SUV
19,72,624,397,71,train_00114,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00114.jpg,Van
26,90,376,243,83,train_00115,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00115.jpg,Wagon
132,120,667,401,110,train_00116,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00116.jpg,SUV
84,44,663,342,42,train_00117,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00117.jpg,Coupe
87,235,591,412,177,train_00118,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00118.jpg,Sedan
173,370,1207,960,147,train_00119,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00119.jpg,SUV
3,19,195,114,161,train_00120,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00120.jpg,Convertible
49,143,487,455,109,train_00121,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00121.jpg,SUV
72,67,233,176,28,train_00122,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00122.jpg,Coupe
151,568,1954,1271,144,train_00123,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00123.jpg,Coupe
14,88,271,178,53,train_00124,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00124.jpg,Pick Up
135,761,1894,1353,29,train_00125,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00125.jpg,Sedan
44,123,778,487,66,train_00126,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00126.jpg,Coupe
69,103,537,322,79,train_00127,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00127.jpg,Sedan
86,78,355,284,13,train_00128,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00128.jpg,Coupe
50,80,592,273,136,train_00129,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00129.jpg,Sedan
95,161,543,368,143,train_00130,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00130.jpg,SUV
275,195,863,474,171,train_00131,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00131.jpg,Coupe
99,78,557,389,89,train_00132,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00132.jpg,SUV
11,126,426,360,135,train_00133,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00133.jpg,Sedan
1,2,267,185,161,train_00134,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00134.jpg,Convertible
19,735,2669,2192,58,train_00135,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00135.jpg,SUV
21,35,279,195,122,train_00136,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00136.jpg,Pick Up
45,99,593,403,178,train_00137,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00137.jpg,Hatchback
130,282,1425,900,56,train_00138,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00138.jpg,Coupe
72,215,628,481,184,train_00139,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00139.jpg,Sedan
62,95,633,434,191,train_00140,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00140.jpg,Hatchback
13,106,476,260,40,train_00141,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00141.jpg,Sedan
78,300,952,633,60,train_00142,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00142.jpg,Wagon
72,51,566,412,155,train_00143,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00143.jpg,SUV
66,59,283,202,71,train_00144,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00144.jpg,Van
135,36,1181,885,140,train_00145,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00145.jpg,Sedan
2,5,298,162,42,train_00146,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00146.jpg,Coupe
8,12,770,309,76,train_00147,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00147.jpg,SUV
24,78,608,379,187,train_00148,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00148.jpg,Sedan
34,1,242,179,86,train_00149,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00149.jpg,Pick Up
11,208,596,386,8,train_00150,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00150.jpg,Convertible
8,37,294,150,5,train_00151,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00151.jpg,Sedan
23,66,499,311,47,train_00152,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00152.jpg,Sedan
6,138,627,361,30,train_00153,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00153.jpg,Wagon
17,105,385,243,18,train_00154,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00154.jpg,Wagon
76,4,1585,1120,149,train_00155,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00155.jpg,SUV
22,21,211,139,174,train_00156,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00156.jpg,Van
32,130,973,661,138,train_00157,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00157.jpg,Sedan
75,236,1196,846,179,train_00158,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00158.jpg,Convertible
37,139,988,694,24,train_00159,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00159.jpg,Sedan
114,46,546,287,42,train_00160,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00160.jpg,Coupe
12,83,629,354,73,train_00161,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00161.jpg,Sedan
38,66,548,385,176,train_00162,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00162.jpg,Sedan
46,84,661,428,1,train_00163,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00163.jpg,SUV
13,29,239,174,37,train_00164,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00164.jpg,SUV
27,65,490,220,36,train_00165,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00165.jpg,Convertible
4,69,402,245,108,train_00166,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00166.jpg,Minivan
19,27,429,258,41,train_00167,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00167.jpg,Sedan
110,96,565,389,40,train_00168,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00168.jpg,Sedan
2,22,140,81,119,train_00169,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00169.jpg,Van
48,71,615,453,119,train_00170,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00170.jpg,Van
41,42,262,170,19,train_00171,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00171.jpg,Hatchback
6,108,493,267,163,train_00172,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00172.jpg,Coupe
26,61,508,342,120,train_00173,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00173.jpg,SUV
13,29,249,159,54,train_00174,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00174.jpg,Pick Up
69,120,739,502,116,train_00175,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00175.jpg,Van
45,85,1005,558,66,train_00176,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00176.jpg,Coupe
98,22,650,302,50,train_00177,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00177.jpg,SUV
5,28,285,148,122,train_00178,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00178.jpg,Pick Up
42,113,601,439,155,train_00179,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00179.jpg,SUV
3,40,297,157,142,train_00180,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00180.jpg,SUV
84,256,913,752,68,train_00181,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00181.jpg,SUV
43,226,1001,630,170,train_00182,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00182.jpg,Hatchback
2,9,196,125,161,train_00183,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00183.jpg,Convertible
34,51,604,344,161,train_00184,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00184.jpg,Convertible
24,35,620,438,133,train_00185,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00185.jpg,SUV
6,72,255,178,125,train_00186,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00186.jpg,Pick Up
4,408,1600,934,160,train_00187,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00187.jpg,Coupe
25,162,1241,764,93,train_00188,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00188.jpg,Coupe
18,15,583,421,183,train_00189,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00189.jpg,Hatchback
198,416,1271,935,45,train_00190,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00190.jpg,Convertible
129,75,654,422,143,train_00191,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00191.jpg,SUV
37,24,259,212,189,train_00192,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00192.jpg,SUV
82,107,990,723,48,train_00193,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00193.jpg,SUV
187,327,1211,769,176,train_00194,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00194.jpg,Sedan
150,339,1313,771,77,train_00195,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00195.jpg,Convertible
26,46,266,213,190,train_00196,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00196.jpg,Hatchback
47,102,492,371,110,train_00197,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00197.jpg,SUV
91,121,574,357,6,train_00198,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00198.jpg,Coupe
151,298,1285,835,191,train_00199,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00199.jpg,Hatchback
30,55,301,187,16,train_00200,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00200.jpg,Sedan
21,1,386,200,12,train_00201,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00201.jpg,Convertible
233,217,1228,807,90,train_00202,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00202.jpg,Pick Up
30,167,945,545,188,train_00203,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00203.jpg,Sedan
11,61,284,151,128,train_00204,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00204.jpg,Coupe
29,70,612,356,23,train_00205,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00205.jpg,Sedan
117,222,558,434,11,train_00206,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00206.jpg,Coupe
31,119,438,258,93,train_00207,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00207.jpg,Coupe
26,151,360,256,8,train_00208,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00208.jpg,Convertible
58,136,973,636,63,train_00209,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00209.jpg,Sedan
8,80,639,366,173,train_00210,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00210.jpg,Sedan
11,47,598,365,176,train_00211,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00211.jpg,Sedan
8,20,254,155,72,train_00212,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00212.jpg,Coupe
37,62,261,191,195,train_00213,C:\Users\Erik\Desktop\Uni\HLCV\data\stanford_cars\cars_train\00213.jpg,SUV
